Ozone,Nitrogen Oxide,PM2.5,PM10
5.89367,67.80391,3.526,6.016
6.48827,68.10326,3.315,5.912
7.13705,68.70197,3.117,5.421
7.46188,68.5523,3.059,5.113
10.32605,63.26369,3.339,5.309
17.51482,52.03788,3.835,6.128
19.46178,48.94454,3.905,6.586
16.75894,55.43057,2.953,4.93
13.5712,58.47401,2.639,4.453
14.54543,57.32648,2.768,5.176
14.49157,54.5824,4.63,8.099
44.01891,32.82927,6.299,11.117
64.95876,16.6142,8.255,16.418
52.13454,24.19786,9.322,21.348
73.34952,12.87227,8.962,20.515
53.20143,23.89851,7.922,17.483
48.92781,29.98539,6.599,13.243
23.13746,53.53465,5.137,9.737
11.40663,65.55875,3.236,6.473
5.56897,72.24434,2.003,3.417
5.46067,72.99273,1.822,3.096
5.24439,75.38757,1.98,3.661
0,71.51258,3.245,5.237
1.65901,74.24004,4.501,6.863
10.35766,65.15961,1.408,2.413
26.5151,41.61035,1.596,2.133
22.17659,51.18971,4.535,5.962
27.27188,48.5953,14.606,21.393
37.84548,32.77937,16.526,24.883
47.38911,26.49292,17.757,28.533
27.75768,49.14411,18.01,28.88
42.83153,33.07873,11.787,18.633
42.18801,34.12647,5.263,8.33
48.97604,28.23916,1.316,2.056
43.82884,32.18066,1.391,1.877
68.91893,15.51657,4.274,5.746
77.98378,6.13678,7.43,10.223
80.55015,6.93506,8.709,15.36
73.73991,6.33635,8.195,17.278
71.02217,3.69205,8.256,17.445
69.76377,4.39054,8.513,17.355
53.40648,12.97205,8.25,17.893
36.32465,24.34754,7.144,14.548
14.31292,47.29809,6.482,13.318
16.21083,44.80347,5.87,11.953
10.62715,52.5867,4.712,8.716
0,57.07702,3.225,6.25
9.25427,62.13279,3.177,5.935
7.39377,68.5024,14.175,24.345
10.11429,67.50455,15.295,26.388
12.66931,64.86025,14.906,25.535
15.49616,64.01208,15.153,26.265
8.42883,73.09251,13.998,23.96
8.8098,73.44176,12.337,19.938
9.84238,71.39617,12.722,20.79
10.05924,70.39832,13.274,21.563
12.12653,68.25294,12.418,20.13
12.07336,68.15316,11.099,18.085
9.51885,69.60004,10.217,16.78
9.40995,69.40047,9.981,16.948
10.66032,68.60219,9.87,16.715
11.58528,67.00563,8.529,14.313
17.45575,63.01423,6.043,10.213
17.88997,63.91229,6.437,10.235
18.26967,65.2095,6.388,10.597
14.35511,69.89939,5.641,9.47
13.91977,71.54585,5.516,9.611
8.59192,77.43316,6.409,11.938
9.24369,77.88219,6.491,11.842
6.14554,80.37682,4.731,8.252
0,76.10269,5.897,9.767
1.88759,75.77008,4.642,7.433
43.18508,37.71873,3.468,5.711
29.17281,51.33938,3.624,5.916
47.43785,30.5841,4.676,9.036
18.75784,61.41767,4.125,7.966
19.30216,62.31573,3.965,6.997
20.44687,59.57165,3.133,6.058
