Nitrogen Oxide,Ozone,PM2.5,PM10
29,28,19,19
46,14,20,20
69,6,21,21
52,10,19,19
73,2,18,18
105,0,14,14
96,2,11,11
84,10,6,6
48,32,5,5
27,52,6,6
29,56,6,6
19,56,6,6
19,56,4,4
17,56,3,3
21,52,3,3
21,50,2,2
17,52,3,3
19,50,2,2
21,48,3,3
19,44,3,3
13,54,4,4
13,52,8,8
0,50,10,10
11,58,4,4
130,0,17,17
96,0,15,15
73,2,11,11
38,20,11,11
50,14,11,11
48,18,9,9
65,14,6,6
52,20,6,6
38,30,7,7
38,34,6,6
44,32,3,3
38,36,5,5
34,36,5,5
42,30,4,4
48,24,3,3
67,10,7,7
53,10,5,5
38,18,6,6
32,22,6,6
27,26,8,8
25,30,11,11
21,32,12,12
19,32,16,16
25,28,17,17
57,0,17,17
65,0,19,19
101,0,21,21
128,0,17,17
143,0,14,14
174,0,11,11
105,0,9,9
71,8,6,6
40,24,5,5
55,22,6,6
40,30,6,6
46,30,6,6
46,28,7,7
44,26,8,8
48,20,8,8
44,14,9,9
42,14,10,10
36,18,12,12
31,22,15,15
25,20,15,15
25,18,17,17
38,10,15,15
71,2,15,15
143,0,16,16
147,0,0,0
166,0,0,0
162,0,0,0
181,0,0,0
157,0,0,0
155,0,0,0
162,0,0,0
157,0,0,0
143,2,0,0
145,4,0,0
141,6,0,0
153,8,0,0
138,8,0,0
159,6,0,0
231,2,0,0
287,0,0,0
346,0,0,0
222,0,17,17
168,0,16,16
132,0,15,15
57,0,18,18
59,0,15,15
61,0,16,16
90,0,16,16
48,20,0,0
55,18,0,0
210,0,0,0
193,0,0,0
172,0,0,0
254,0,0,0
189,0,0,0
141,2,0,0
128,4,0,0
139,4,0,0
136,6,0,0
149,8,0,0
189,6,0,0
201,4,0,0
193,4,0,0
189,2,0,0
180,2,0,0
191,0,0,0
227,0,0,0
197,0,0,0
155,0,0,0
126,0,0,0
0,0,0,0
138,0,0,0
25,50,0,0
27,50,0,0
27,52,0,0
32,44,0,0
31,46,0,0
29,50,0,0
34,40,0,0
44,30,0,0
80,8,0,0
86,16,0,0
97,12,0,0
97,12,0,0
99,10,0,0
128,4,0,0
124,2,0,0
122,2,0,0
78,14,0,0
40,22,0,0
55,6,0,0
55,6,0,0
36,18,0,0
46,10,0,0
0,14,0,0
48,14,0,0
31,38,0,0
27,40,0,0
27,42,0,0
40,30,0,0
71,10,0,0
76,10,0,0
82,8,0,0
94,10,0,0
92,16,0,0
92,24,0,0
78,34,0,0
65,38,0,0
88,30,0,0
117,16,0,0
105,14,0,0
178,2,0,0
168,2,0,0
92,6,0,0
82,6,0,0
44,20,0,0
32,34,0,0
29,38,0,0
29,42,0,0
23,48,0,0
25,46,0,0
50,22,0,0
63,12,0,0
73,8,0,0
