Nitrogen Oxide,Ozone,PM2.5,PM10
13.38702,56.92734,4.917,5.851
16.06452,57.57595,4.476,4.917
17.77621,64.11186,2.941,4.476
17.38128,67.2052,2.116,2.941
17.24932,68.30283,1.509,2.116
16.59094,69.94929,1.038,1.509
17.07384,70.34843,1.059,1.038
18.25912,72.19445,0.943,1.059
14.79128,65.15961,2.123,0.943
86.46699,14.01979,6.679,2.123
51.266,26.89206,6.087,6.679
65.75032,19.00904,9.373,6.087
77.55666,9.9785,13.288,9.373
61.1847,13.87012,16.283,13.288
50.51964,14.81807,18.321,16.283
47.93012,15.46668,19.932,18.321
29.05661,25.74453,21.649,19.932
25.19384,27.74023,22.771,21.649
46.08599,24.24776,24.177,22.771
13.73797,41.06153,23.573,24.177
12.50871,43.2568,24.708,23.573
12.87431,42.97407,25.394,24.708
17.03018,37.51916,30.186,25.394
103.89178,0.94796,14.017,30.186
140.454,0.99785,13.682,14.017
195.36283,1.04774,13.583,13.682
233.94369,1.54667,16.561,13.583
169.73007,1.24731,12.024,16.561
149.62778,1.74624,10.316,12.024
182.76567,1.3471,10.875,10.316
145.32609,5.18882,11.205,10.875
42.35566,31.63185,5.425,11.205
35.37695,40.51271,6.009,5.425
32.52398,43.45637,5.844,6.009
24.88641,45.45207,5.958,5.844
25.36931,43.70583,6.132,5.958
27.69635,38.6168,5.903,6.132
35.72837,33.47787,6.024,5.903
42.70708,26.89206,6.627,6.024
27.47593,38.96604,6.08,6.627
23.7456,40.46282,6.302,6.08
17.29378,43.55615,7.007,6.302
8.33946,52.5368,6.726,7.007
7.55007,53.63444,4.856,6.726
8.38344,53.83401,4.295,4.856
7.84189,56.87745,4.521,4.295
10.70936,54.7487,5.142,4.521
28.92417,33.82712,5.224,5.142
35.15701,28.18926,6.264,5.224
38.05493,26.14367,6.307,6.264
40.02958,23.59915,6.208,6.307
54.03052,12.6228,7.41,6.208
63.81869,8.18237,8.887,7.41
66.54018,8.13248,7.849,8.887
60.04389,10.97635,7.101,7.849
37.39559,34.07658,5.649,7.101
42.97053,39.96389,4.618,5.649
39.4587,38.26755,5.002,4.618
56.35659,25.14582,6.519,5.002
76.54733,17.71184,7.347,6.519
80.32213,14.26926,5.844,7.347
123.1607,7.28431,6.073,5.844
141.90272,2.49463,6.08,6.073
117.23529,0.89807,6.408,6.08
80.01518,1.09764,7.314,6.408
97.00104,1.24731,8.026,7.314
72.02618,1.14753,8.929,8.026
83.39456,0.74839,11.116,8.929
83.04362,0.74839,12.309,11.116
78.94736,0.93133,12.639,12.309
119.03464,0.99785,13.866,12.639
73.15982,6.73549,8.559,13.866
118.98858,1.94581,10.083,8.559
139.85969,1.3471,11.745,10.083
163.36766,1.44688,11.302,11.745
164.20295,1.69635,11.79,11.302
175.97821,1.64645,10.762,11.79
